Year,Obs Date,Weir Count Type,Maturity,Count
1985,6/17/1985,Counted live,Adult,0
1985,6/18/1985,Counted live,Adult,0
1985,6/19/1985,Counted live,Adult,0
1985,6/20/1985,Counted live,Adult,0
1985,6/21/1985,Counted live,Adult,0
1985,6/22/1985,Counted live,Adult,0
1985,6/23/1985,Counted live,Adult,0
1985,6/24/1985,Counted live,Adult,0
1985,6/25/1985,Counted live,Adult,0
1985,6/26/1985,Counted live,Adult,0
1985,6/27/1985,Counted live,Adult,0
1985,6/28/1985,Counted live,Adult,0
1985,6/29/1985,Counted live,Adult,0
1985,8/9/1985,Counted live,Adult,1
1985,8/11/1985,Counted live,Adult,2
1985,8/12/1985,Counted live,Adult,1
1985,8/13/1985,Counted live,Adult,2
1985,8/14/1985,Counted live,Adult,1
1985,8/20/1985,Counted live,Adult,1
1985,8/21/1985,Counted live,Adult,1
1985,8/22/1985,Counted live,Adult,3
1985,8/24/1985,Counted live,Adult,2
1985,8/25/1985,Counted live,Adult,1
1985,8/26/1985,Counted live,Adult,5
1985,8/29/1985,Counted live,Adult,7
1985,8/30/1985,Counted live,Adult,4
1985,8/31/1985,Counted live,Adult,10
1985,9/1/1985,Counted live,Adult,1
1985,9/2/1985,Counted live,Adult,1
1985,9/3/1985,Counted live,Adult,7
1985,9/4/1985,Counted live,Adult,10
1985,9/5/1985,Counted live,Adult,25
1985,9/6/1985,Counted live,Adult,27
1985,9/7/1985,Counted live,Adult,13
1985,9/8/1985,Counted live,Adult,7
1985,9/9/1985,Counted live,Adult,12
1985,9/10/1985,Counted live,Adult,22
1985,9/11/1985,Counted live,Adult,14
1985,9/12/1985,Counted live,Adult,19
1985,9/13/1985,Counted live,Adult,8
1985,9/14/1985,Counted live,Adult,2
1985,9/15/1985,Counted live,Adult,8
1985,9/16/1985,Counted live,Adult,15
1985,9/17/1985,Counted live,Adult,21
1985,9/18/1985,Counted live,Adult,8
1985,9/19/1985,Counted live,Adult,11
1985,9/20/1985,Counted live,Adult,35
1985,9/21/1985,Counted live,Adult,55
1985,9/22/1985,Counted live,Adult,12
1985,9/23/1985,Counted live,Adult,39
1985,9/24/1985,Counted live,Adult,40
1985,9/25/1985,Counted live,Adult,20
1985,9/26/1985,Counted live,Adult,47
1985,9/28/1985,Counted live,Adult,20
1985,9/29/1985,Counted live,Adult,17
1985,9/30/1985,Counted live,Adult,16
1985,10/1/1985,Counted live,Adult,10
1985,10/2/1985,Counted live,Adult,6
1985,10/3/1985,Counted live,Adult,6
1985,10/5/1985,Counted live,Adult,4
1985,10/6/1985,Counted live,Adult,3
1985,10/7/1985,Counted live,Adult,13
1985,10/8/1985,Counted live,Adult,4
1985,10/9/1985,Counted live,Adult,1
1985,10/10/1985,Counted live,Adult,5
1985,10/11/1985,Counted live,Adult,10
1985,10/12/1985,Counted live,Adult,13
1985,10/13/1985,Counted live,Adult,50
1985,10/14/1985,Counted live,Adult,17
1985,10/16/1985,Counted live,Adult,4
1985,10/17/1985,Counted live,Adult,1
1985,10/18/1985,Counted live,Adult,1
1985,10/19/1985,Counted live,Adult,4
1985,10/20/1985,Counted live,Adult,2
1985,10/21/1985,Counted live,Adult,57
1985,10/23/1985,Counted live,Adult,2
1985,10/24/1985,Counted live,Adult,1
1985,10/27/1985,Counted live,Adult,1
1985,10/29/1985,Counted live,Adult,2
1985,10/31/1985,Counted live,Adult,2
1985,11/1/1985,Counted live,Adult,0
1985,11/2/1985,Counted live,Adult,0
1985,11/3/1985,Counted live,Adult,0
1985,11/4/1985,Counted live,Adult,0
1985,11/5/1985,Counted live,Adult,0
1985,11/6/1985,Counted live,Adult,1
1985,11/7/1985,Counted live,Adult,0
1985,11/8/1985,Counted live,Adult,0
1985,11/9/1985,Counted live,Adult,0
1985,11/10/1985,Counted live,Adult,0
1986,7/4/1986,Counted live,Adult,1
1986,7/12/1986,Counted live,Adult,1
1986,8/2/1986,Counted live,Adult,1
1986,8/8/1986,Counted live,Adult,1
1986,8/9/1986,Counted live,Adult,4
1986,8/11/1986,Counted live,Adult,1
1986,8/13/1986,Counted live,Adult,1
1986,8/15/1986,Counted live,Adult,1
1986,8/16/1986,Counted live,Adult,2
1986,8/18/1986,Counted live,Adult,2
