Note: This spreadsheet may include values that are preliminary or unreviewed.,,,,,,,
Activity Start Date,Activity Start Time,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Characteristic Name,Result Value,Result Unit
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Specific conductance,153,uS/cm
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,"Temperature, water",9.95,deg C
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Dissolved oxygen (DO),11.1,mg/l
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,pH,7.46,None
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Turbidity,0.89,NTU
6/22/2016,4:12:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Total suspended solids,1.03,mg/l
6/22/2016,4:37:00 PM,Mammoth Creek,65.55088,-145.17574,Total suspended solids,1.03,mg/l
6/22/2016,4:47:00 PM,Mammoth Creek,65.55088,-145.17574,Turbidity,1.03,NTU
6/22/2016,4:47:00 PM,Mammoth Creek,65.55088,-145.17574,pH,7.9,None
6/22/2016,4:47:00 PM,Mammoth Creek,65.55088,-145.17574,"Temperature, water",10.53,deg C
6/22/2016,4:47:00 PM,Mammoth Creek,65.55088,-145.17574,Dissolved oxygen (DO),11.4,mg/l
6/22/2016,4:47:00 PM,Mammoth Creek,65.55088,-145.17574,Specific conductance,148,uS/cm
6/22/2016,5:13:00 PM,Bonanza Creek,65.55425,-145.32305,Total suspended solids,1.04,mg/l
6/22/2016,5:15:00 PM,Bonanza Creek,65.55425,-145.32305,"Temperature, water",10.67,deg C
6/22/2016,5:15:00 PM,Bonanza Creek,65.55425,-145.32305,Turbidity,0.73,NTU
6/22/2016,5:15:00 PM,Bonanza Creek,65.55425,-145.32305,Specific conductance,164,uS/cm
6/22/2016,5:15:00 PM,Bonanza Creek,65.55425,-145.32305,Dissolved oxygen (DO),11.45,mg/l
6/22/2016,5:16:00 PM,Bonanza Creek,65.55425,-145.32305,pH,7.42,None
6/22/2016,5:30:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Total suspended solids,1.06,mg/l
6/22/2016,5:33:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Turbidity,3.71,NTU
6/22/2016,5:33:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,"Temperature, water",11.26,deg C
6/22/2016,5:33:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Dissolved oxygen (DO),11.4,mg/l
6/22/2016,5:33:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,pH,7.39,None
6/22/2016,5:33:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Specific conductance,195,uS/cm
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,"Temperature, water",9,deg C
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,Total suspended solids,76.3,mg/l
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,Specific conductance,44,uS/cm
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,Turbidity,50.7,NTU
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,pH,6.53,None
7/6/2016,1:50:00 PM,Ketchem Creek,65.50849,-144.69472,Dissolved oxygen (DO),11.31,mg/l
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,Turbidity,187,NTU
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,Total suspended solids,123,mg/l
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,pH,7.42,None
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,Specific conductance,187,uS/cm
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,"Temperature, water",10.89,deg C
7/6/2016,3:40:00 PM,Deadwood Creek,65.53982,-144.76285,Dissolved oxygen (DO),10.7,mg/l
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,pH,7.3,None
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Specific conductance,132,uS/cm
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,11.6,NTU
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Total suspended solids,25.3,mg/l
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,"Temperature, water",11.69,deg C
7/6/2016,4:16:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Dissolved oxygen (DO),19.96,mg/l
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,pH,7.5,None
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,Specific conductance,93,uS/cm
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,Turbidity,26.6,NTU
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,Total suspended solids,68,mg/l
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,Dissolved oxygen (DO),12.01,mg/l
7/7/2016,8:44:00 AM,Boulder Creek,65.56783,-144.88885,"Temperature, water",6.56,deg C
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,"Temperature, water",4.1,deg C
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,Specific conductance,22,uS/cm
